result,wins,loses,draws
1,1,0,0
-1,1,1,0
-1,1,2,0
-1,1,3,0
-1,1,4,0
-1,1,5,0
-1,1,6,0
-1,1,7,0
-1,1,8,0
0,1,8,1
-1,1,9,1
-1,1,10,1
-1,1,11,1
0,1,11,2
-1,1,12,2
-1,1,13,2
-1,1,14,2
-1,1,15,2
0,1,15,3
-1,1,16,3
-1,1,17,3
-1,1,18,3
-1,1,19,3
-1,1,20,3
0,1,20,4
-1,1,21,4
-1,1,22,4
-1,1,23,4
0,1,23,5
0,1,23,6
-1,1,24,6
-1,1,25,6
-1,1,26,6
-1,1,27,6
-1,1,28,6
-1,1,29,6
-1,1,30,6
-1,1,31,6
0,1,31,7
-1,1,32,7
1,2,32,7
0,2,32,8
-1,2,33,8
1,3,33,8
-1,3,34,8
-1,3,35,8
-1,3,36,8
0,3,36,9
0,3,36,10
-1,3,37,10
-1,3,38,10
-1,3,39,10
-1,3,40,10
-1,3,41,10
-1,3,42,10
-1,3,43,10
0,3,43,11
-1,3,44,11
-1,3,45,11
-1,3,46,11
-1,3,47,11
-1,3,48,11
1,4,48,11
0,4,48,12
-1,4,49,12
0,4,49,13
-1,4,50,13
0,4,50,14
-1,4,51,14
0,4,51,15
0,4,51,16
-1,4,52,16
-1,4,53,16
0,4,53,17
-1,4,54,17
0,4,54,18
-1,4,55,18
-1,4,56,18
-1,4,57,18
-1,4,58,18
-1,4,59,18
-1,4,60,18
-1,4,61,18
0,4,61,19
0,4,61,20
-1,4,62,20
-1,4,63,20
-1,4,64,20
0,4,64,21
-1,4,65,21
-1,4,66,21
-1,4,67,21
0,4,67,22
1,5,67,22
-1,5,68,22
-1,5,69,22
-1,5,70,22
-1,5,71,22
1,6,71,22
-1,6,72,22
-1,6,73,22
-1,6,74,22
0,6,74,23
-1,6,75,23
-1,6,76,23
1,7,76,23
-1,7,77,23
0,7,77,24
-1,7,78,24
-1,7,79,24
-1,7,80,24
0,7,80,25
-1,7,81,25
0,7,81,26
-1,7,82,26
-1,7,83,26
0,7,83,27
-1,7,84,27
-1,7,85,27
0,7,85,28
-1,7,86,28
-1,7,87,28
-1,7,88,28
-1,7,89,28
-1,7,90,28
-1,7,91,28
0,7,91,29
-1,7,92,29
-1,7,93,29
-1,7,94,29
-1,7,95,29
-1,7,96,29
-1,7,97,29
0,7,97,30
-1,7,98,30
-1,7,99,30
0,7,99,31
-1,7,100,31
0,7,100,32
-1,7,101,32
-1,7,102,32
0,7,102,33
-1,7,103,33
-1,7,104,33
1,8,104,33
-1,8,105,33
-1,8,106,33
-1,8,107,33
-1,8,108,33
-1,8,109,33
-1,8,110,33
-1,8,111,33
-1,8,112,33
-1,8,113,33
-1,8,114,33
-1,8,115,33
-1,8,116,33
-1,8,117,33
-1,8,118,33
-1,8,119,33
-1,8,120,33
-1,8,121,33
-1,8,122,33
-1,8,123,33
-1,8,124,33
-1,8,125,33
-1,8,126,33
-1,8,127,33
-1,8,128,33
-1,8,129,33
-1,8,130,33
-1,8,131,33
-1,8,132,33
-1,8,133,33
0,8,133,34
0,8,133,35
-1,8,134,35
-1,8,135,35
