result,wins,loses,draws
0,0,0,1
0,0,0,2
0,0,0,3
0,0,0,4
1,1,0,4
0,1,0,5
-1,1,1,5
0,1,1,6
0,1,1,7
0,1,1,8
1,2,1,8
1,3,1,8
-1,3,2,8
-1,3,3,8
0,3,3,9
0,3,3,10
0,3,3,11
0,3,3,12
0,3,3,13
0,3,3,14
0,3,3,15
0,3,3,16
-1,3,4,16
-1,3,5,16
1,4,5,16
1,5,5,16
-1,5,6,16
0,5,6,17
-1,5,7,17
0,5,7,18
0,5,7,19
1,6,7,19
0,6,7,20
0,6,7,21
1,7,7,21
-1,7,8,21
0,7,8,22
-1,7,9,22
0,7,9,23
-1,7,10,23
0,7,10,24
1,8,10,24
1,9,10,24
0,9,10,25
1,10,10,25
0,10,10,26
0,10,10,27
0,10,10,28
0,10,10,29
0,10,10,30
-1,10,11,30
0,10,11,31
0,10,11,32
0,10,11,33
0,10,11,34
0,10,11,35
-1,10,12,35
1,11,12,35
0,11,12,36
1,12,12,36
0,12,12,37
0,12,12,38
0,12,12,39
0,12,12,40
0,12,12,41
0,12,12,42
1,13,12,42
0,13,12,43
0,13,12,44
0,13,12,45
-1,13,13,45
0,13,13,46
0,13,13,47
0,13,13,48
-1,13,14,48
0,13,14,49
0,13,14,50
0,13,14,51
-1,13,15,51
1,14,15,51
0,14,15,52
-1,14,16,52
1,15,16,52
1,16,16,52
1,17,16,52
0,17,16,53
1,18,16,53
-1,18,17,53
0,18,17,54
-1,18,18,54
1,19,18,54
0,19,18,55
1,20,18,55
1,21,18,55
1,22,18,55
0,22,18,56
1,23,18,56
0,23,18,57
0,23,18,58
1,24,18,58
1,25,18,58
0,25,18,59
1,26,18,59
1,27,18,59
1,28,18,59
1,29,18,59
0,29,18,60
1,30,18,60
1,31,18,60
0,31,18,61
0,31,18,62
0,31,18,63
1,32,18,63
0,32,18,64
1,33,18,64
0,33,18,65
0,33,18,66
1,34,18,66
0,34,18,67
0,34,18,68
1,35,18,68
1,36,18,68
0,36,18,69
1,37,18,69
1,38,18,69
0,38,18,70
0,38,18,71
1,39,18,71
0,39,18,72
0,39,18,73
1,40,18,73
1,41,18,73
1,42,18,73
-1,42,19,73
0,42,19,74
1,43,19,74
0,43,19,75
0,43,19,76
1,44,19,76
0,44,19,77
0,44,19,78
1,45,19,78
1,46,19,78
0,46,19,79
1,47,19,79
0,47,19,80
0,47,19,81
0,47,19,82
1,48,19,82
0,48,19,83
0,48,19,84
1,49,19,84
0,49,19,85
0,49,19,86
0,49,19,87
1,50,19,87
1,51,19,87
0,51,19,88
0,51,19,89
1,52,19,89
0,52,19,90
0,52,19,91
1,53,19,91
1,54,19,91
0,54,19,92
-1,54,20,92
0,54,20,93
0,54,20,94
0,54,20,95
0,54,20,96
0,54,20,97
1,55,20,97
0,55,20,98
1,56,20,98
1,57,20,98
0,57,20,99
1,58,20,99
1,59,20,99
0,59,20,100
0,59,20,101
1,60,20,101
-1,60,21,101
0,60,21,102
0,60,21,103
0,60,21,104
1,61,21,104
1,62,21,104
0,62,21,105
1,63,21,105
-1,63,22,105
0,63,22,106
0,63,22,107
-1,63,23,107
0,63,23,108
1,64,23,108
0,64,23,109
0,64,23,110
1,65,23,110
1,66,23,110
0,66,23,111
1,67,23,111
0,67,23,112
0,67,23,113
0,67,23,114
1,68,23,114
1,69,23,114
0,69,23,115
0,69,23,116
